description Old,description New ,similarity,Title New,Title Old,similarity
واصلت أوكرانيا جهودها الأحد لاستئناف تصدير الحبوب من موانئ البحر الأسود، بموجب اتفاق يهدف إلى تخفيف نقص الغذاء العالمي، لكنها حذرت من أن الشحنات ستواجه مشاكل إذا كان قصف روسيا لميناء أوديسا ينذر بالمزيد.,واصلت أوكرانيا جهودها الأحد لاستئناف تصدير الحبوب من موانئ البحر الأسود، بموجب اتفاق يهدف إلى تخفيف نقص الغذاء العالمي، لكنها حذرت من أن الشحنات ستواجه مشاكل إذا كان قصف روسيا لميناء أوديسا ينذر بالمزيد.,1.0,العالم يستعد لشحنات حبوب أوكرانيا.. وروسيا تستمر بالتقدم, العالم يستعد لشحنات حبوب أوكرانيا.. وروسيا تستمر بالتقدم ,0.9824561403508771
اتخذت سلطات الحجر الصحي بمطار القاهرة إجراءات احترازية مكثفة للحد من انتشار جدري القرود، وذلك بعد إعلان منظمة الصحة العالمية حالة الطوارئ بسبب زيادة الإصابات على مستوى العالم.,اتخذت سلطات الحجر الصحي بمطار القاهرة إجراءات احترازية مكثفة للحد من انتشار جدري القرود، وذلك بعد إعلان منظمة الصحة العالمية حالة الطوارئ بسبب زيادة الإصابات على مستوى العالم.,1.0,مطار القاهرة يشدد إجراءات التصدي لجدري القردة, مطار القاهرة يشدد إجراءات التصدي لجدري القردة ,0.9782608695652174
"قال الدكتور أشيش جها، منسق جهود مكافحة فيروس كورونا في البيت الأبيض، يوم الأحد، إن الرئيس جو بايدن يشعر ""بتحسن كبير"" بعد أن ثبتت إصابته بالفيروس، موضحا أنه مصاب بالمتحور ""بي إيه.5"" الذي ينتشر في جميع أنحاء البلاد.","قال الدكتور أشيش جها، منسق جهود مكافحة فيروس كورونا في البيت الأبيض، يوم الأحد، إن الرئيس جو بايدن يشعر ""بتحسن كبير"" بعد أن ثبتت إصابته بالفيروس، موضحا أنه مصاب بالمتحور ""بي إيه.5"" الذي ينتشر في جميع أنحاء البلاد.",1.0,البيت الأبيض يكشف جديد الوضع الصحي لبايدن, البيت الأبيض يكشف جديد الوضع الصحي لبايدن ,0.9761904761904762
قالت إدارة الإطفاء في مدينة لوس أنجلوس إنما لا يقل عن 7 أشخاص أصيبوا في إطلاق نار في منتزه الأحد، بينما لا يزال منفذ الهجوم طليقا.,قالت إدارة الإطفاء في مدينة لوس أنجلوس إنما لا يقل عن 7 أشخاص أصيبوا في إطلاق نار في منتزه الأحد، بينما لا يزال منفذ الهجوم طليقا.,1.0,"لوس أنجلوس.. إطلاق نار وإصابة 7 والمنفذ ""داخل الحديقة"""," لوس أنجلوس.. إطلاق نار وإصابة 7 والمنفذ ""داخل الحديقة"" ",0.9818181818181818
وصل أكثر من ألف مهاجر خلال الساعات الأخيرة إلى إيطاليا، فيما ينتظر مئات آخرون أسعفتهم سفن إنسانية في مرفأ استقبال، بحسب ما أفادت المنظمات غير الحكومية والسلطات الإيطالية، يوم الأحد.,وصل أكثر من ألف مهاجر خلال الساعات الأخيرة إلى إيطاليا، فيما ينتظر مئات آخرون أسعفتهم سفن إنسانية في مرفأ استقبال، بحسب ما أفادت المنظمات غير الحكومية والسلطات الإيطالية، يوم الأحد.,1.0,وصول أكثر من ألف مهاجر إلى إيطاليا في غضون ساعات, وصول أكثر من ألف مهاجر إلى إيطاليا في غضون ساعات ,0.9795918367346939
نفى رئيس شركة تسلا، الملياردير إيلون ماسك، في وقت متأخر الأحد، ارتباطه بعلاقة عاطفية مع زوجة الشريك المؤسس لغوغل.,نفى رئيس شركة تسلا، الملياردير إيلون ماسك، في وقت متأخر الأحد، ارتباطه بعلاقة عاطفية مع زوجة الشريك المؤسس لغوغل.,1.0,ماسك ينفي ارتباطه بعلاقة عاطفية مع زوجة مؤسس غوغل, ماسك ينفي ارتباطه بعلاقة عاطفية مع زوجة مؤسس غوغل ,0.98
"تحدث وزير الخارجية الروسي، سيرغي لافروف، في جامعة الدول العربي بالقاهرة، الأحد، عن الأسباب التي دفعت بلاده لشن حملتها العسكرية على أوكرانيا، معتبرا أن ""الغرب رفض أخذ مخاوف موسكو بعين الاعتبار بشأن توسع الناتو"".","تحدث وزير الخارجية الروسي، سيرغي لافروف، في جامعة الدول العربي بالقاهرة، الأحد، عن الأسباب التي دفعت بلاده لشن حملتها العسكرية على أوكرانيا، معتبرا أن ""الغرب رفض أخذ مخاوف موسكو بعين الاعتبار بشأن توسع الناتو"".",1.0,لافروف: الغرب رفض أخذ مخاوفنا بعين الاعتبار بشأن توسع الناتو, لافروف: الغرب رفض أخذ مخاوفنا بعين الاعتبار بشأن توسع الناتو ,0.9836065573770492
قال مسؤولون في إدارة الإطفاء إن حريق غابات يستعر إلى الغرب مباشرة من متنزه يوسيميتي الوطني في ولاية كاليفورنيا الأميركية انتشر بسرعة كبيرة خلال الليل بفعل درجات الحرارة المرتفعة وجفاف الغابات والأحراج مما حوله إلى أحد أكبر حرائق الغابات هذا العام وأجبر آلاف السكان على الفرار من منازلهم.,قال مسؤولون في إدارة الإطفاء إن حريق غابات يستعر إلى الغرب مباشرة من متنزه يوسيميتي الوطني في ولاية كاليفورنيا الأميركية انتشر بسرعة كبيرة خلال الليل بفعل درجات الحرارة المرتفعة وجفاف الغابات والأحراج مما حوله إلى أحد أكبر حرائق الغابات هذا العام وأجبر آلاف السكان على الفرار من منازلهم.,1.0,"كاليفورنيا.. إجلاء الآلاف مع انتشار الحريق ""المدمر"""," كاليفورنيا.. إجلاء الآلاف مع انتشار الحريق ""المدمر"" ",0.9807692307692307
"أظهرت كاميرا مراقبة لصا يسرق ساعة من سائح كان جالسا في إحدى مقاهي إيطاليا، قبل أن يقرر إعادتها له، وفق ما ذكرت صحيفة ""ذا صن"" البريطانية.","أظهرت كاميرا مراقبة لصا يسرق ساعة من سائح كان جالسا في إحدى مقاهي إيطاليا، قبل أن يقرر إعادتها له، وفق ما ذكرت صحيفة ""ذا صن"" البريطانية.",1.0,بالفيديو.. لص يعيد ساعة بعد سرقتها ويعتذر, بالفيديو.. لص يعيد ساعة بعد سرقتها ويعتذر ,0.9761904761904762
وصف وزير المالية البريطاني السابق ريشي سوناك نفسه بأنه الطرف الأضعف في السباق على منصب رئيس وزراء بريطانيا المقبل.,وصف وزير المالية البريطاني السابق ريشي سوناك نفسه بأنه الطرف الأضعف في السباق على منصب رئيس وزراء بريطانيا المقبل.,1.0,سوناك: أنا الطرف الأضعف في السباق لخلافة بوريس جونسون, سوناك: أنا الطرف الأضعف في السباق لخلافة بوريس جونسون ,0.9814814814814815
"أظهرت مقاطع فيديو سيولا موحلة في مجرى نهر رودبال في إيران، تجرف معها عددًا من السيارات.
","أظهرت مقاطع فيديو سيولا موحلة في مجرى نهر رودبال في إيران، تجرف معها عددًا من السيارات.
",1.0,شاهد.. إيراني يصور بهاتفه لحظة انجراف عدد من السيارات بعد فيضان نهر رودبال,شاهد.. إيراني يصور بهاتفه لحظة انجراف عدد من السيارات بعد فيضان نهر رودبال,1.0
أعلنت وكالة الأمن الفيدرالي الروسي، اليوم الاثنين، عملية للاستخبارات العسكرية الأوكرانية لتجنيد طيارين روس واختطاف طائرات مقاتلة روسية.,أعلنت وكالة الأمن الفيدرالي الروسي، اليوم الاثنين، عملية للاستخبارات العسكرية الأوكرانية لتجنيد طيارين روس واختطاف طائرات مقاتلة روسية.,1.0,روسيا تحبط عملية استخباراتية أوكرانية لاختطاف مقاتلات روسية, روسيا تحبط عملية استخباراتية أوكرانية لاختطاف مقاتلات روسية ,0.9833333333333333
"يبدأ الإثنين، الرئيس الفرنسي إيمانويل ماكرون، جولة خارجية بعد 3 أشهر من إعادة انتخابه لولاية ثانية، إلى 3 دول إفريقية، قال محللون إنها ستركز على 4 ملفات رئيسية، بينها ""مكافحة الإرهاب"" و""رأب الصدع"" و""أمن الغذاء"".","يبدأ الإثنين، الرئيس الفرنسي إيمانويل ماكرون، جولة خارجية بعد 3 أشهر من إعادة انتخابه لولاية ثانية، إلى 3 دول إفريقية، قال محللون إنها ستركز على 4 ملفات رئيسية، بينها ""مكافحة الإرهاب"" و""رأب الصدع"" و""أمن الغذاء"".",1.0,"ماكرون إلى إفريقيا.. رحلة ""محورية"" بأهداف محددة"," خاص ماكرون إلى إفريقيا.. رحلة ""محورية"" بأهداف محددة ",0.94
تكشف العينان الكثير عن خبايا صحتنا الجسدية وتتنبأ بالأمراض التي قد نتعرض لها، ومنها توقع الإصابة بارتفاع ضغط الدم.,تكشف العينان الكثير عن خبايا صحتنا الجسدية وتتنبأ بالأمراض التي قد نتعرض لها، ومنها توقع الإصابة بارتفاع ضغط الدم.,1.0,"بفحوصات بسيطة.. عيناك تكشفان أسرار إصابتك بـ""القاتل الصامت"""," بفحوصات بسيطة.. عيناك تكشفان أسرار إصابتك بـ""القاتل الصامت"" ",0.9833333333333333
"كشفت مصادر في الجيش البريطاني، أن قوات خاصة دربت قوات الكوماندوز الأوكرانية قبل هجومها لاستعادة السيطرة على ""جزيرة الثعبان"" الاستراتيجية في البحر الأسود.","كشفت مصادر في الجيش البريطاني، أن قوات خاصة دربت قوات الكوماندوز الأوكرانية قبل هجومها لاستعادة السيطرة على ""جزيرة الثعبان"" الاستراتيجية في البحر الأسود.",1.0,"غواصات ""جيمس بوند"".. كيف استعادت أوكرانيا ""جزيرة الثعبان""؟"," خاص غواصات ""جيمس بوند"".. كيف استعادت أوكرانيا ""جزيرة الثعبان""؟ ",0.9508196721311475
تقترب طائرة صينية منافسة لشركتي إيرباص وبوينغ من الحصول على شهادة الطيران التجاري بعد أن أكملت جميع اختبارات الطيران.,تقترب طائرة صينية منافسة لشركتي إيرباص وبوينغ من الحصول على شهادة الطيران التجاري بعد أن أكملت جميع اختبارات الطيران.,1.0,"طائرة صينية ""تتحدى"" احتكار بوينغ وإيرباص لعالم الطيران"," طائرة صينية ""تتحدى"" احتكار بوينغ وإيرباص لعالم الطيران ",0.9818181818181818
مع دخول العملية العسكرية الروسية في أوكرانيا شهرها السادس، لا تزال أصوات النيران والمدافع تهيمن على المشهد، وسط دعم عسكري أميركي غربي لكييف في محاولة لوقف التقدم الروسي.,مع دخول العملية العسكرية الروسية في أوكرانيا شهرها السادس، لا تزال أصوات النيران والمدافع تهيمن على المشهد، وسط دعم عسكري أميركي غربي لكييف في محاولة لوقف التقدم الروسي.,1.0,أميركا تزوّد أوكرانيا بشبح العنقاء..هل تغير الوضع على الأرض؟, خاص أميركا تزوّد أوكرانيا بشبح العنقاء..هل تغير الوضع على الأرض؟ ,0.9523809523809523
تناقل ناشطون عبر مواقع التواصل الاجتماعي مقطع فيديو يظهر أجساما غريبة مضيئة شوهدت، مساء السبت، في سماء لبنان.,تناقل ناشطون عبر مواقع التواصل الاجتماعي مقطع فيديو يظهر أجساما غريبة مضيئة شوهدت، مساء السبت، في سماء لبنان.,1.0,ما حقيقة الأجسام الغريبة التي شوهدت في سماء لبنان؟, خاص ما حقيقة الأجسام الغريبة التي شوهدت في سماء لبنان؟ ,0.9433962264150944
أعدمت محكمة صينية في مقاطعة سيتشوان بجنوب غرب الصين، يوم السبت، رجلا أدين بجريمة قتل لإشعاله النار في زوجته السابقة، في قضية أثارت غضبا ورعبا بشأن حالات العنف المنزلي.,أعدمت محكمة صينية في مقاطعة سيتشوان بجنوب غرب الصين، يوم السبت، رجلا أدين بجريمة قتل لإشعاله النار في زوجته السابقة، في قضية أثارت غضبا ورعبا بشأن حالات العنف المنزلي.,1.0,الصين تعدم رجلا قتل زوجته حرقا في بث مباشر, الصين تعدم رجلا قتل زوجته حرقا في بث مباشر ,0.9767441860465116
