description Old,description New ,similarity,Title New,Title Old,similarity
أعلنت رئيسة مجلس النواب الأميركي نانسي بيلوسي، اليوم الأحد، أنها ستقود وفدا من الكونغرس الأميركي في جولة بمنطقة المحيطين الهندي والهادئ.,أعلنت رئيسة مجلس النواب الأميركي نانسي بيلوسي، اليوم الأحد، أنها ستقود وفدا من الكونغرس الأميركي في جولة بمنطقة المحيطين الهندي والهادئ.,1.0,بيلوسي تعلن عن الدول بجولتها الآسيوية وتسقط تايوان منها, بيلوسي تعلن عن الدول بجولتها الآسيوية وتسقط تايوان منها ,0.9821428571428571
انهار جزء من صوامع مرفأ بيروت، مساء الأحد، قبل أيام من الذكرى السنوية الثانية للانفجار الضخم الذي وقع في المرفأ وتسبب في خسائر بشرية ومادية ضخمة.,انهار جزء من صوامع مرفأ بيروت، مساء الأحد، قبل أيام من الذكرى السنوية الثانية للانفجار الضخم الذي وقع في المرفأ وتسبب في خسائر بشرية ومادية ضخمة.,1.0,فيديو.. انهيار جزء من صوامع الحبوب في مرفأ بيروت, عاجل فيديو.. انهيار جزء من صوامع الحبوب في مرفأ بيروت ,0.9320388349514563
دعت روسيا، السبت، خبراء من الأمم المتحدة والصليب الأحمر للتحقيق في واقعة قصف مركز احتجاز، الأمر الذي نجم عنه مقتل وإصابة العشرات من الأسرى الأوكرانيين.,دعت روسيا، السبت، خبراء من الأمم المتحدة والصليب الأحمر للتحقيق في واقعة قصف مركز احتجاز، الأمر الذي نجم عنه مقتل وإصابة العشرات من الأسرى الأوكرانيين.,1.0,روسيا تدعو خبراء دوليين للتحقيق في حادث قصف السجن, روسيا تدعو خبراء دوليين للتحقيق في حادث قصف السجن ,0.98
أبلغت إسبانيا، السبت، عن ثاني حالة وفاة مرتبطة بجدري القردة، بعد يوم واحد من إعلان ما يعتقد أنه أول حالة وفاة مرتبطة بالوباء الحالي في أوروبا.,أبلغت إسبانيا، السبت، عن ثاني حالة وفاة مرتبطة بجدري القردة، بعد يوم واحد من إعلان ما يعتقد أنه أول حالة وفاة مرتبطة بالوباء الحالي في أوروبا.,1.0,تسجيل ثاني وفاة مرتبطة بجدري القردة في أوروبا, تسجيل ثاني وفاة مرتبطة بجدري القردة في أوروبا ,0.9782608695652174
حذر العاهل المغربي الملك محمد السادس من إشعال الفتنة بين الشعبين المغربي والجزائري، مؤكدا أن بلاده لن تسمح بذلك.,حذر العاهل المغربي الملك محمد السادس من إشعال الفتنة بين الشعبين المغربي والجزائري، مؤكدا أن بلاده لن تسمح بذلك.,1.0,العاهل المغربي: لن نسمح بالإساءة للجزائريين ونتطلع للعمل معا, العاهل المغربي: لن نسمح بالإساءة للجزائريين ونتطلع للعمل معا ,0.9836065573770492
كشف حاكم سيفاستوبول في شبه جزيرة القرم، ميخائيل رازفوجايف، صباح اليوم الأحد، أن مقر أسطول البحر الأسود الروسي تعرض لهجوم بطائرة مسيرة، مشيرا إلى إصابة 5 أشخاص.,كشف حاكم سيفاستوبول في شبه جزيرة القرم، ميخائيل رازفوجايف، صباح اليوم الأحد، أن مقر أسطول البحر الأسود الروسي تعرض لهجوم بطائرة مسيرة، مشيرا إلى إصابة 5 أشخاص.,1.0,مسيرة أوكرانية تستهدف قيادة الأسطول الروسي بالبحر الأسود, مسيرة أوكرانية تستهدف قيادة الأسطول الروسي بالبحر الأسود ,0.9824561403508771
متابعة مستمرة,متابعة مستمرة,1.0,أنصار التيار الصدري يعلنون الاعتصام المفتوح داخل البرلمان العراقي، ورئيس المجلس يعلق عقد الجلسات حتى إشعار آخر - BBC Arabic,أنصار التيار الصدري يعلنون الاعتصام المفتوح داخل البرلمان العراقي، ورئيس المجلس يعلق عقد الجلسات حتى إشعار آخر,0.944206008583691
أكدت السلطات نجاة رئيس دولة غواتيمالا من محاولة اغتيال، نفذها مسلحون مكسيكيون، أخطأوا بتنفيذ الخطة الدموية.,أكدت السلطات نجاة رئيس دولة غواتيمالا من محاولة اغتيال، نفذها مسلحون مكسيكيون، أخطأوا بتنفيذ الخطة الدموية.,1.0,محاولة اغتيال فاشلة لرئيس غواتيمالا.. تفاصيل الواقعة, محاولة اغتيال فاشلة لرئيس غواتيمالا.. تفاصيل الواقعة ,0.9811320754716981
وجه رئيس مجلس الوزراء العراقي مصطفى الكاظمي، بتعطيل الدوام الرسمي في المؤسسات الرسمية كافة، ليوم الأحد.,وجه رئيس مجلس الوزراء العراقي مصطفى الكاظمي، بتعطيل الدوام الرسمي في المؤسسات الرسمية كافة، ليوم الأحد.,1.0,"الكاظمي يعلن ""تعطيل"" الدوام الرسمي ليوم واحد"," الكاظمي يعلن ""تعطيل"" الدوام الرسمي ليوم واحد ",0.9777777777777777
زارت وزيرة الخارجية الألمانية أنالينا بيربوك، منظمات دعم حقوق المرأة والتضامن مع المهاجرين، خلال زيارة إلى أنقرة السبت.,زارت وزيرة الخارجية الألمانية أنالينا بيربوك، منظمات دعم حقوق المرأة والتضامن مع المهاجرين، خلال زيارة إلى أنقرة السبت.,1.0,الخارجية الألمانية تشيد باعتناء تركيا باللاجئين وعملية دمجهم, الخارجية الألمانية تشيد باعتناء تركيا باللاجئين وعملية دمجهم ,0.9836065573770492
