description Old,description New ,similarity,Title New,Title Old,similarity
&quot;لماذاسلم بايدن بالقبضة في السعودية وسلم بالإيد في إسرائيل؟&quot;.. عماد الدين أديب يجيب,لماذاسلم بايدن بالقبضة في السعودية وسلم بالإيد في إسرائيل عماد الدين أديب يجيب | مصراوى,0.8666666666666667,&quot;لماذاسلم بايدن بالقبضة في السعودية وسلم بالإيد في إسرائيل؟&quot;.. عماد الدين أديب يجيب,"""لماذاسلم بايدن بالقبضة في السعودية وسلم بالإيد في إسرائيل؟"".. عماد الدين أديب يجيب",0.9204545454545454
أعلنت وزارة الدفاع الصربية اليوم الأحد أن 8 أشخاص قتلوا في تحطم طائرة شحن في شمال اليونان، مساء السبت، فيما كشف هيئة الطَّيران المدني الأردني أن الطائرة لم تكن وجهتها النهائية الأردن.,أعلنت وزارة الدفاع الصربية اليوم الأحد أن 8 أشخاص قتلوا في تحطم طائرة شحن في شمال اليونان، مساء السبت، فيما كشف هيئة الطَّيران المدني الأردني أن الطائرة لم تكن وجهتها النهائية الأردن.,1.0,8 قتلى بتحطم طائرة شحن صربية لم تكن وجهتها النهائية الأردن, 8 قتلى بتحطم طائرة شحن صربية لم تكن وجهتها النهائية الأردن ,0.9830508474576272
"أفاد سكان في النيل الأزرق ""سكاي نيوز عربية""، الأحد، بفرار الآلاف من سكان الولاية الواقعة جنوب شرقي السودان، إثر الاشتباكات القبلية التي تسببت على مدار الأيام الأخيرة في سقوط عشرات القتلى والجرحى.","أفاد سكان في النيل الأزرق ""سكاي نيوز عربية""، الأحد، بفرار الآلاف من سكان الولاية الواقعة جنوب شرقي السودان، إثر الاشتباكات القبلية التي تسببت على مدار الأيام الأخيرة في سقوط عشرات القتلى والجرحى.",1.0,السودان.. فرار الآلاف في النيل الأزرق بعد مقتل العشرات, السودان.. فرار الآلاف في النيل الأزرق بعد مقتل العشرات ,0.9818181818181818
"ستعقد الحكومة البريطانية، خلال الساعات المقبلة، ""اجتماع كوبرا"" لمناقشة موجة الحر التي تشهدها البلاد، في وقت تشير فيه التوقعات إلى إمكانية بلوغ درجة الحرارة مستويات قياسية في بداية الأسبوع المقبل.","ستعقد الحكومة البريطانية، خلال الساعات المقبلة، ""اجتماع كوبرا"" لمناقشة موجة الحر التي تشهدها البلاد، في وقت تشير فيه التوقعات إلى إمكانية بلوغ درجة الحرارة مستويات قياسية في بداية الأسبوع المقبل.",1.0,"اجتماع ""كوبرا"".. بريطانيا تستنفر بسبب ""الخريطة الحمراء"""," اجتماع ""كوبرا"".. بريطانيا تستنفر بسبب ""الخريطة الحمراء"" ",0.9821428571428571
"قال وزير الخارجية السعودي، الأمير فيصل بن فرحان، إن بلاده ترى الولايات المتحدة &quot;كشريك أساسي في المشتريات الدفاعية&quot; مضيفًا أنه &quot;إذا لم تتمكن السعودية من الحصول على معدات أمريكية، فستبحث عنها في مكان آخر&quot;، ومشددًا في الوقت ذاته على أن الرياض ستشتري أنظمة دفاع صاروخي أو أي أسلحة دفاعية وفقًا لأفضل الحلول لاحتياجات المملكة.
","قال وزير الخارجية السعودي، الأمير فيصل بن فرحان، إن بلاده ترى الولايات المتحدة &quot;كشريك أساسي في المشتريات الدفاعية&quot; مضيفًا أنه &quot;إذا لم تتمكن السعودية من الحصول على معدات أمريكية، فستبحث عنها في مكان آخر&quot;، ومشددًا في الوقت ذاته على أن الرياض ستشتري أنظمة دفاع صاروخي أو أي أسلحة دفاعية وفقًا لأفضل الحلول لاحتياجات المملكة.
",1.0,هل تنوي السعودية شراء منظومات صاروخية صينية؟.. فيصل بن فرحان يجيب,هل تنوي السعودية شراء منظومات صاروخية صينية؟.. فيصل بن فرحان يجيب,1.0
"نشرت وزارة الدفاع الروسية فيديو لتدمير راجمة الصواريخ الأميركية ""هيمارس"" ،الأحدث في الترسانة العسكرية الأوكرانية، بواسطة أسلحة روسية عالية الدقة.","نشرت وزارة الدفاع الروسية فيديو لتدمير راجمة الصواريخ الأميركية ""هيمارس"" ،الأحدث في الترسانة العسكرية الأوكرانية، بواسطة أسلحة روسية عالية الدقة.",1.0,"من الجو.. روسيا تنشر فيديو تدمير ""هيمارس"" بالقذائف الدقيقة"," من الجو.. روسيا تنشر فيديو تدمير ""هيمارس"" بالقذائف الدقيقة ",0.9830508474576272
قال رئيس وزراء بريطانيا الأسبق توني بلير إن حرب أوكرانيا أظهرت أن هيمنة الغرب تشهد نهايتها في ظل صعود الصين لتكون قوة عظمى بالشراكة مع روسيا في أوضح نقاط التغير في المشهد العالمي منذ قرون.,قال رئيس وزراء بريطانيا الأسبق توني بلير إن حرب أوكرانيا أظهرت أن هيمنة الغرب تشهد نهايتها في ظل صعود الصين لتكون قوة عظمى بالشراكة مع روسيا في أوضح نقاط التغير في المشهد العالمي منذ قرون.,1.0,"مسؤول بريطاني سابق يتحدث عن نهاية ""هيمنة الغرب"""," مسؤول بريطاني سابق يتحدث عن نهاية ""هيمنة الغرب"" ",0.9791666666666666
"قال عادل الجبير، وزير الدولة السعودي للشؤون الخارجية، في مقابلة مع مذيع شبكة CNN  وولف بليتزر، إن المملكة العربية السعودية &quot;أوضحت خلال العقود الماضية أنها تسعى لضمان استقرار السوق و أنها تبحث في أساسيات العرض والطلب وأنها تعمل ضمن أوبك والآن داخل أوبك بلس لضمان تزويد الأسواق بالنفط الخام بشكل كافٍ&quot;، مؤكدًا أن الرئيس الأمريكي لم يضغط على حكومة بلاده لزيادة إنتاجها من النفط، ومشيرًا إلى حرص السعودية &quot;على الحفاظ على الاستقرار في الأسواق&quot;.
","قال عادل الجبير، وزير الدولة السعودي للشؤون الخارجية، في مقابلة مع مذيع شبكة CNN  وولف بليتزر، إن المملكة العربية السعودية &quot;أوضحت خلال العقود الماضية أنها تسعى لضمان استقرار السوق و أنها تبحث في أساسيات العرض والطلب وأنها تعمل ضمن أوبك والآن داخل أوبك بلس لضمان تزويد الأسواق بالنفط الخام بشكل كافٍ&quot;، مؤكدًا أن الرئيس الأمريكي لم يضغط على حكومة بلاده لزيادة إنتاجها من النفط، ومشيرًا إلى حرص السعودية &quot;على الحفاظ على الاستقرار في الأسواق&quot;.
",1.0,الجبير يوضح لـCNN هل ضغط بايدن على السعودية لزيادة إنتاج النفط,الجبير يوضح لـCNN هل ضغط بايدن على السعودية لزيادة إنتاج النفط,1.0
ساعدت بعوضتان الشرطة في الصين في القبض على لص بعد أن عضتهما وشربتا دمه الذي استخدم بعد ذلك في اختبار الحمض النووي للعثور عليه.,ساعدت بعوضتان الشرطة في الصين في القبض على لص بعد أن عضتهما وشربتا دمه الذي استخدم بعد ذلك في اختبار الحمض النووي للعثور عليه.,1.0,بفضل بعوضة.. سلطات الصين تلقي القبض على لص ارتكب عدة سرقات, بفضل بعوضة.. سلطات الصين تلقي القبض على لص ارتكب عدة سرقات ,0.9830508474576272
غالبا ما يقترن وصف الكلاب بالوفاء، لكن هذا لم يكن الحال بالنسبة إلى كلاب سيدة بريطانية، إذ لم يكن هناك وفاء على الإطلاق.,غالبا ما يقترن وصف الكلاب بالوفاء، لكن هذا لم يكن الحال بالنسبة إلى كلاب سيدة بريطانية، إذ لم يكن هناك وفاء على الإطلاق.,1.0,الكلاب ليست وفية دائما..نهشت صاحبتها حتى الموت, الكلاب ليست وفية دائما..نهشت صاحبتها حتى الموت ,0.9787234042553191
