قال حاكم منطقة لوغانسك التابع لسلطة كييف، اليوم الاثنين، إن روسيا ستحول تركيزها الأساسي في العملية العسكرية الروسية في أوكرانيا إلى محاولة السيطرة على منطقة دونيتسك بالكامل بعدما استولت على منطقة لوغانسك المجاورة.,قال حاكم منطقة لوغانسك التابع لسلطة كييف، اليوم الاثنين، إن روسيا ستحول تركيزها الأساسي في العملية العسكرية الروسية في أوكرانيا إلى محاولة السيطرة على منطقة دونيتسك بالكامل بعدما استولت على منطقة لوغانسك المجاورة.,1.0
خرج مئات الأشخاص في بولاية أوهايو، الأحد، في تظاهرة للاحتجاج على مقتل شاب أميركي من أصل أفريقي برصاص الشرطة.,خرج مئات الأشخاص في بولاية أوهايو، الأحد، في تظاهرة للاحتجاج على مقتل شاب أميركي من أصل أفريقي برصاص الشرطة.,1.0
عقب اتهام موسكو لكييف بقصف مدينة بيلغورود الحدودية بالصواريخ، أكدت المتحدثة باسم وزارة الخارجية الروسية ماريا زاخاروفا، اليوم الأحد، أن موسكو تمتنع عن اتخا,عقب اتهام موسكو لكييف بقصف مدينة بيلغورود الحدودية بالصواريخ، أكدت المتحدثة باسم وزارة الخارجية الروسية ماريا زاخاروفا، اليوم الأحد، أن موسكو تمتنع عن,0.9836065573770492
أدت درجات الحرارة المرتفعة هذا الصيف، إلى انهيار أجزاء من جبل جليدي بين جبال الألب، مما تسبب بمأساة سجلت مقتل 6 أشخاص على الأقل.,أدت درجات الحرارة المرتفعة هذا الصيف، إلى انهيار أجزاء من جبل جليدي بين جبال الألب، مما تسبب بمأساة سجلت مقتل 6 أشخاص على الأقل.,1.0
نشر أفيخاي أدرعي، المتحدث باسم الجيش الإسرائيلي للإعلام العربي، مقطع فيديو من داخل غرفة عمليات البحرية الإسرائيلية لحظة إعطاء أوامر إسقاط طائرات &quot;الدرون&quot; التي أطلقها حزب الله اللبناني.,نشر أفيخاي أدرعي، المتحدث باسم الجيش الإسرائيلي للإعلام العربي، مقطع فيديو من داخل غرفة عمليات البحرية الإسرائيلية لحظة إعطاء أوامر إسقاط طائرات &quot;الدرون&quot; التي أطلقها حزب الله اللبناني.,1.0
حذر محللو بنك &quot;جي بي مورغان&quot; من أن أسعار النفط العالمية قد تصل إلى 380 دولاراً للبرميل إذا دفعت العقوبات الأميركية والأوروبية روسيا إلى تطبيق تخفيضات انتقا,"حذر محللو بنك ""جي بي مورغان"" من أن أسعار النفط العالمية قد تصل إلى 380 دولاراً للبرميل إذا دفعت العقوبات الأميركية والأوروبية روسيا إلى تطبيق تخفيضات",0.9363057324840764
استعاد الجيش البريطاني السيطرة على حسابه على موقع تويتر وقناته على يوتيوب بعد اختراقهما لفترة وجيزة واستخدامهما لنشر تعليقات عن عملات مشفرة ورموز غير قابلة للاستبدال.,استعاد الجيش البريطاني السيطرة على حسابه على موقع تويتر وقناته على يوتيوب بعد اختراقهما لفترة وجيزة واستخدامهما لنشر تعليقات عن عملات مشفرة ورموز غير قابلة للاستبدال.,1.0
"أعلنت الحكومة الألمانية، مؤخرا، تفعيل خطة الطوارئ الخاصة بالغاز في البلاد، بالتزامن مع إعلان شركة ""نورد ستريم""، المسؤولة عن تشغيل خط أنابيب ""نورد ستريم 1""، اتجاهها لوقف عمليات ضخ الغاز من روسيا إلى أوروبا بشكل مؤقت لتنفيذ أعمال صيانة، وذلك من 11 إلى 21 يوليو الجاري.","أعلنت الحكومة الألمانية، مؤخرا، تفعيل خطة الطوارئ الخاصة بالغاز في البلاد، بالتزامن مع إعلان شركة ""نورد ستريم""، المسؤولة عن تشغيل خط أنابيب ""نورد ستريم 1""، اتجاهها لوقف عمليات ضخ الغاز من روسيا إلى أوروبا بشكل مؤقت لتنفيذ أعمال صيانة، وذلك من 11 إلى 21 يوليو الجاري.",1.0
ضربة قوية تعرضت لها شركة تسلا، بعد كشف عيب غريب في السيارة داخل ألمانيا، سيؤدي إلى سحب 59 ألف سيارة من الأسواق العالمية.,ضربة قوية تعرضت لها شركة تسلا، بعد كشف عيب غريب في السيارة داخل ألمانيا، سيؤدي إلى سحب 59 ألف سيارة من الأسواق العالمية.,1.0
"خفضت وكالة ""فيتش"" للتصنيف الائتماني توقعاتها بشأن الديون السيادية، بسبب مخاوف بشأن ارتفاع تكاليف الاقتراض العالمية واحتمال حدوث موجة جديدة من حالات التخلف عن السداد.","خفضت وكالة ""فيتش"" للتصنيف الائتماني توقعاتها بشأن الديون السيادية، بسبب مخاوف بشأن ارتفاع تكاليف الاقتراض العالمية واحتمال حدوث موجة جديدة من حالات التخلف عن السداد.",1.0
