description Old,description New ,similarity,Title New,Title Old,similarity
أعلنت الصين، اليوم الجمعة، فرض عقوبات غير محددة على رئيسة مجلس النواب الأميركي نانسي بيلوسي بسبب زيارتها إلى تايوان في وقت سابق من هذا الأسبوع.,أعلنت الصين، اليوم الجمعة، فرض عقوبات غير محددة على رئيسة مجلس النواب الأميركي نانسي بيلوسي بسبب زيارتها إلى تايوان في وقت سابق من هذا الأسبوع.,1.0,الصين تفرض عقوبات على بيلوسي بعد زيارتها لتايوان, الصين تفرض عقوبات على بيلوسي بعد زيارتها لتايوان ,0.9795918367346939
قال وزير الخارجية الروسي، سيرغي لافروف، الجمعة، إن موسكو مستعدة لمناقشة تبادل السجناء مع واشنطن من خلال القنوات الدبلوماسية القائمة، غداة حكم بسجن لاعبة كرة سلة أميركية 9 سنوات.,قال وزير الخارجية الروسي، سيرغي لافروف، الجمعة، إن موسكو مستعدة لمناقشة تبادل السجناء مع واشنطن من خلال القنوات الدبلوماسية القائمة، غداة حكم بسجن لاعبة كرة سلة أميركية 9 سنوات.,1.0,بعد سجن اللاعبة الأميركية.. لافروف يقدم عرضا لواشنطن, بعد سجن اللاعبة الأميركية.. لافروف يقدم عرضا لواشنطن ,0.9811320754716981
في الذكرى الثانية لانفجار مرفأ بيروت في لبنان، انهارت 4 صوامع من الجهة الشمالية للمبنى ولف الغبار الأحياء المجاورة، وسط تساؤلات عن تزامن ذلك مع ذكرى الرابع من أغسطس، اليوم الذي شهد كارثة المرفأ قبل عامين.,في الذكرى الثانية لانفجار مرفأ بيروت في لبنان، انهارت 4 صوامع من الجهة الشمالية للمبنى ولف الغبار الأحياء المجاورة، وسط تساؤلات عن تزامن ذلك مع ذكرى الرابع من أغسطس، اليوم الذي شهد كارثة المرفأ قبل عامين.,1.0,لبنانيون يتساءلون: لماذا انهارت الصوامع في ذكرى الانفجار؟, خاص لبنانيون يتساءلون: لماذا انهارت الصوامع في ذكرى الانفجار؟ ,0.95
"أكد المتحدث باسم البيت الأبيض أن المحادثات النووية مع إيران ""اكتملت تقريبا""، بعد ساعات من استئناف المحادثات غير المباشرة بين الولايات المتحدة وإيران.","أكد المتحدث باسم البيت الأبيض أن المحادثات النووية مع إيران ""اكتملت تقريبا""، بعد ساعات من استئناف المحادثات غير المباشرة بين الولايات المتحدة وإيران.",1.0,"البيت الأبيض: المحادثات النووية مع إيران ""اكتملت تقريبا"""," البيت الأبيض: المحادثات النووية مع إيران ""اكتملت تقريبا"" ",0.9824561403508771
حريق كبير في ملهى ليلي مكتظ بالزوار، أدى لكارثة إنسانية في تايلاند، وقتل 13 شخص على الأقل، بينما أصاب العشرات.,حريق كبير في ملهى ليلي مكتظ بالزوار، أدى لكارثة إنسانية في تايلاند، وقتل 13 شخص على الأقل، بينما أصاب العشرات.,1.0,بالفيديو.. حريق مرعب في ملهى مزدحم بتايلاند يخلف قتلى, بالفيديو.. حريق مرعب في ملهى مزدحم بتايلاند يخلف قتلى ,0.9814814814814815
أعلنت وزارة الخارجية الصينية، الجمعة، أن بكين قررت وقف التعاون والاتصالات مع واشنطن في ملفات عدة تمتد من التغير المناخي إلى الاتصالات العسكرية، ردا على زيارة رئيسة مجلس النواب الأميركي، نانسي بيلوسي إلى تايوان قبل أيام.,أعلنت وزارة الخارجية الصينية، الجمعة، أن بكين قررت وقف التعاون والاتصالات مع واشنطن في ملفات عدة تمتد من التغير المناخي إلى الاتصالات العسكرية، ردا على زيارة رئيسة مجلس النواب الأميركي، نانسي بيلوسي إلى تايوان قبل أيام.,1.0,"الصين ترد على زيارة بيلوسي بحزمة ""قطع الاتصالات"""," الصين ترد على زيارة بيلوسي بحزمة ""قطع الاتصالات"" ",0.9795918367346939
"رفضت شركة تويتر، الخميس، مزاعم إيلون ماسك في محكمة بولاية ديلاوير بأنه تعرض لخداع فيما يتعلق بالتوقيع على صفقة شراء شركة التواصل الاجتماعي، قائلة إنها مزاعم ""غير قابلة للتصديق ومخالفة للحقيقة"".","رفضت شركة تويتر، الخميس، مزاعم إيلون ماسك في محكمة بولاية ديلاوير بأنه تعرض لخداع فيما يتعلق بالتوقيع على صفقة شراء شركة التواصل الاجتماعي، قائلة إنها مزاعم ""غير قابلة للتصديق ومخالفة للحقيقة"".",1.0,"تويتر: قصة إيلون ماسك ""غير قابلة للتصديق"""," تويتر: قصة إيلون ماسك ""غير قابلة للتصديق"" ",0.9761904761904762
قالت السلطات الفرنسية، الأربعاء، إن حوتا أبيض ضل طريقه في نهر السين بشمال البلاد، وحثت الناس على الابتعاد عنه حتى لا يشعر بالتوتر.,قالت السلطات الفرنسية، الأربعاء، إن حوتا أبيض ضل طريقه في نهر السين بشمال البلاد، وحثت الناس على الابتعاد عنه حتى لا يشعر بالتوتر.,1.0,"مشهد غريب.. حوت ""تائه"" في نهر قرب باريس"," مشهد غريب.. حوت ""تائه"" في نهر قرب باريس ",0.975
رغم الهدنة الدبلوماسية بين البلدين، توترت الأجواء من جديد بين أذربيجان وأرمينيا بعد تحرك عسكري من باكو سيطرت خلاله على مرتفعات استراتيجية عدة في إقليم ناغورني كاراباخ المتنازع عليه مع يريفان.,رغم الهدنة الدبلوماسية بين البلدين، توترت الأجواء من جديد بين أذربيجان وأرمينيا بعد تحرك عسكري من باكو سيطرت خلاله على مرتفعات استراتيجية عدة في إقليم ناغورني كاراباخ المتنازع عليه مع يريفان.,1.0,"عملية ""الانتقام"".. هل تعود أرمينيا وأذربيجان للحرب مجددا؟"," خاص عملية ""الانتقام"".. هل تعود أرمينيا وأذربيجان للحرب مجددا؟ ",0.95
قال وزير الخارجية الأمريكي أنتوني بلينكن، اليوم الجمعة، إن إطلاق الصين صواريخ حول تايوان هو تصعيد غير متناسب وغير مبرر، وإن الولايات المتحدة أوضحت للصين مرارا أنها لا تسعى إلى حدوث أزمة.,قال وزير الخارجية الأمريكي أنتوني بلينكن، اليوم الجمعة، إن إطلاق الصين صواريخ حول تايوان هو تصعيد غير متناسب وغير مبرر، وإن الولايات المتحدة أوضحت للصين مرارا أنها لا تسعى إلى حدوث أزمة.,1.0,"بلينكن: ما تقوم به الصين ""عمل استفزازي"" غير مقبول"," بلينكن: ما تقوم به الصين ""عمل استفزازي"" غير مقبول ",0.98
"قالت وكالة ""تاس"" للأنباء، اليوم الجمعة، إن السلطات الروسية اعتقلت مسؤولا كبيرا في برنامج الصواريخ الفرط صوتية بتهمة الخيانة.","قالت وكالة ""تاس"" للأنباء، اليوم الجمعة، إن السلطات الروسية اعتقلت مسؤولا كبيرا في برنامج الصواريخ الفرط صوتية بتهمة الخيانة.",1.0,بتهمة الخيانة.. اعتقال مسؤول كبير في برنامج الصواريخ الروسية, بتهمة الخيانة.. اعتقال مسؤول كبير في برنامج الصواريخ الروسية ,0.9836065573770492
"أعلنت وزارة الدفاع الروسية، اليوم الجمعة، أن قواتها دمرت مدفعي هاوتزر أميركيين من طراز ""إم-777"" وتحييد نحو 150 جنديا أوكرانيا.","أعلنت وزارة الدفاع الروسية، اليوم الجمعة، أن قواتها دمرت مدفعي هاوتزر أميركيين من طراز ""إم-777"" وتحييد نحو 150 جنديا أوكرانيا.",1.0,"روسيا.. تدمير مدفعين أميركيين و""تحييد"" 150 جنديا أوكرانيا"," روسيا.. تدمير مدفعين أميركيين و""تحييد"" 150 جنديا أوكرانيا ",0.9827586206896551
خلصت دراسة جديدة إلى أن فحص ضغط الدم يجب أن يتم على ذراعي الشخص لا ذراع واحدة فقط.,خلصت دراسة جديدة إلى أن فحص ضغط الدم يجب أن يتم على ذراعي الشخص لا ذراع واحدة فقط.,1.0,لماذا يجب أن يؤخذ فحص الضغط من الذراعين؟, لماذا يجب أن يؤخذ فحص الضغط من الذراعين؟ ,0.975609756097561
فيما يمكن اعتباره ثورة في عالم زراعة الأعضاء، تمكن الباحثون من إنتاج أجنة فئران اصطناعية من الخلايا الجذعية، مما أدى إلى إزالة الحاجة إلى الحيوانات المنوية والبويضات وحتى الرحم.,فيما يمكن اعتباره ثورة في عالم زراعة الأعضاء، تمكن الباحثون من إنتاج أجنة فئران اصطناعية من الخلايا الجذعية، مما أدى إلى إزالة الحاجة إلى الحيوانات المنوية والبويضات وحتى الرحم.,1.0,سابقة علمية.. إنتاج أجنة دون الحاجة لنطاف أو بويضات أو رحم, سابقة علمية.. إنتاج أجنة دون الحاجة لنطاف أو بويضات أو رحم ,0.9830508474576272
قال مسؤولون أميركيون إن إدارة الرئيس الأميركي جو بايدن أجلت تجربة إطلاق روتينية لصاروخ باليستي عابر للقارات لتجنب تصعيد التوترات مع بكين، في الوقت الذي ينفذ فيه الجيش الصيني مناورات بالذخيرة الحية بالقرب من تايوان.,قال مسؤولون أميركيون إن إدارة الرئيس الأميركي جو بايدن أجلت تجربة إطلاق روتينية لصاروخ باليستي عابر للقارات لتجنب تصعيد التوترات مع بكين، في الوقت الذي ينفذ فيه الجيش الصيني مناورات بالذخيرة الحية بالقرب من تايوان.,1.0,أميركا تؤجل إطلاق صاروخ عابر للقارات لتجنب التصعيد مع الصين, أميركا تؤجل إطلاق صاروخ عابر للقارات لتجنب التصعيد مع الصين ,0.9833333333333333
"كشف عالم في وكالة الفضاء الأميركية ""ناسا"" أن بركانا ثار قبل 7 أشهر دفع كميات هائلة من المياه إلى طبقات الجو العليا بشكل غير مسبوق.","كشف عالم في وكالة الفضاء الأميركية ""ناسا"" أن بركانا ثار قبل 7 أشهر دفع كميات هائلة من المياه إلى طبقات الجو العليا بشكل غير مسبوق.",1.0,اللقطات التي أذهلت ناسا.. بركان يطلق مياها إلى حافة الفضاء, اللقطات التي أذهلت ناسا.. بركان يطلق مياها إلى حافة الفضاء ,0.9830508474576272
"أعلن موقع التواصل الاجتماعي ""فيسبوك"" رسميا أنه سيغلق خاصية التسوق عبر البث المباشر بعد شهرين من الآن، في خطوة ستساعده في التركيز على الفيديوهات القصيرة، التقليعة الجديدة في عالم ""السوشال ميديا"".","أعلن موقع التواصل الاجتماعي ""فيسبوك"" رسميا أنه سيغلق خاصية التسوق عبر البث المباشر بعد شهرين من الآن، في خطوة ستساعده في التركيز على الفيديوهات القصيرة، التقليعة الجديدة في عالم ""السوشال ميديا"".",1.0,"""فيسبوك"" يغلق خاصية ليركز على أخرى"," ""فيسبوك"" يغلق خاصية ليركز على أخرى ",0.9714285714285714
